year,Comedy,Romance,Horror,Drama,Crime,Adventure,Family / Animated,Action,Sport,Historical,Mystery,Sci-Fi,Fantasy
1978,6192.96,10765.62,15764.41,8839.87,7080.53,16826.52,5390.05,11319.91,8506.45,6212.48,5787.88,7551.8,6077.43
1979,10683.17,7307.36,27569.31,14305.12,9239.94,13614.34,4634.9,11697.2,27052.82,9286.3,35637.4,52855.23,1016.14
1980,9359.55,6786.73,23261.92,17153.07,9834.91,43642.07,2346.96,28314.31,23824.35,24304.89,14703.82,10432.26,71399.53
1981,5925.05,4975.74,10627.28,8151.73,6562.62,43504.7,7507.24,32170.98,11626.36,10351.76,7730.79,23138.41,13449.38
1982,7944.01,8763.09,14621.31,10796.88,7337.76,24914.29,26459.33,29214.1,26804.62,15458.29,20445.08,57715.61,22432.18
1983,9846.87,4922.85,11091.37,12108.32,25940.48,34980.82,7043.52,27588.87,17661.28,5873.04,6357.4,10805.96,39404.85
1984,13975.96,9924.9,17430.95,13932.48,19437.8,35593.64,21361.55,42046.33,31911.79,22556.45,7770.2,45911.14,43343.9
1985,20629.92,12477.89,15156.32,14935.3,10939.34,39933.3,20760.27,16565.63,28284.09,7463.09,15738,67474.12,14279.33
1986,13389.6,8761.06,12975.72,17177.11,10885.27,42618.25,39232.29,25739.41,23573.91,9503.12,27272.07,35388.23,17112.63
1987,13884.84,11694.36,11254.85,15406.77,22959.6,31118.67,36966.63,24582.7,22000.15,26230.44,6548.3,33515.13,21521.02
1988,16134.35,11194.69,9476.89,15004.46,18397.55,19225.36,32542.06,24968.92,16416.07,10413.33,10228,16367.96,27934.95
1989,20066.91,9811.5,6788.81,14617.6,15953.45,48427.61,23944.66,24889.12,20368.91,12938.63,19521.06,20509.66,32205.88
1990,17496.83,24269.37,13670.18,22277.02,33105.99,30135.15,25753.25,22466.21,26685.66,44743.75,14772.33,33729.32,32004.31
1991,12950.29,6679.39,4559.58,16953.82,38563.55,26193.05,41214.54,25515.38,20597.71,15142.46,6304,40224.14,25843.32
1992,17574.99,9012.48,26981.21,21293.48,34954.31,30086.23,31175.26,22845.38,28081.62,11542.45,17976.04,34607.4,30987.85
1993,20356.96,26445.59,6219.86,25587.01,23630.33,46458.5,33430.59,25663.92,36868.65,46984.1,20409.64,40300.86,41520.72
1994,21730.35,38489.87,17753.03,50245.43,63031.1,42178.24,52321.81,38171.24,17106.16,16395.91,23725.13,19575.78,25071.05
1995,23733.8,18624.4,10110.86,29899.88,66019.94,67340.19,79357.37,30484.73,57815.51,55143.85,141221.09,40778.33,25308.68
1996,16147.43,13470.21,28512.31,19991.27,30543.09,50950.54,22598.54,36567.23,26697.31,11358.6,33279.71,38302.23,23079.7
1997,20428.14,32021.84,36097.29,29527.17,29819.35,70190.39,27425.25,48738.09,49683.02,15745.41,80050.47,114758.48,29615.41
1998,29064.14,16896.74,24849.95,27495.21,31153.11,46957.91,33528.5,42799.72,45411.68,17211.18,34124.31,94819.73,37089.77
1999,22404.48,16950.68,30919.81,30450.37,35218.16,79263.44,27147.36,48779.65,59636.46,21484.91,74894.73,89822.82,108154.31
2000,25410.35,16469.3,24971.59,23656.32,31182.3,102564.08,17333.27,54945.55,35644.15,17498.08,46478.69,74440.31,36969.63
2001,25178.51,21047.54,21191.19,26510.94,32039.08,110713.26,59921.21,44804.02,40173.82,40628.25,46577.98,65293.52,45233.71
2002,19013.03,15809.51,27510.35,26963.75,39137.83,88136.73,27812.26,50449.56,44118.83,37489.74,44724.42,76509.78,62036.94
2003,24713.09,14998.4,21426.17,22376.3,39148.65,75819.05,25069.11,75648.44,49074.58,10706.84,36673.57,99321.08,97715.07
2004,24344.52,26335.46,27691.81,26019.98,35578.63,73032.54,37076.19,46363.94,48812.23,30164.52,37294.76,98152.03,43094.93
2005,20642.91,20266.7,20984.11,19524.95,33527.4,85258.56,28047.66,56721.73,33213.72,17437.63,21314.78,84985.97,53183.96
2006,21361.28,14659.51,12707.48,26348.83,34909.67,58462.28,20873.01,41676.79,39078.45,20796.45,46921.35,81248.15,56092.34
2007,21369.47,15990.7,23289.36,22218.38,33789.91,83934.83,28412.78,54568.2,38571.29,18658.77,51435.54,74410.2,46937.8
2008,22579.28,30107.59,13161.26,24920.37,39010.31,78156.06,22216.26,66250.92,34971.98,18816.68,21301.07,67572.88,47287.67
2009,23343.43,20692.32,14971.01,20678.89,19855.61,88845.15,27393.17,47124.85,40081.93,13112.22,44829.33,68442.3,52688.23
2010,23942.55,22492.01,17072.96,20236.89,26570.86,112378.24,27662.19,50350.37,43718.47,19009.76,41717.86,77636.74,55761.93
2011,24234.07,26358.92,14893.68,22995.66,25628.99,85081.9,12787.27,56292.22,45813.98,13071.26,40214.54,93491.23,73128.44
2012,21949.73,22608.21,12933.15,20707.97,23343.67,91978.15,11974.37,53502.54,42208.34,14321.12,25360.88,94217.31,48646.08
2013,21570.4,16985.03,19292.32,22718.81,39551.65,70559.68,10315.35,48636.28,41905.95,21559.53,39719.79,84752.73,55101.78
2014,19888.14,13690.31,11385.45,21647.52,27653.31,92246.81,9251.67,54332.85,35359.41,13310.95,32499.37,98932.89,25122.31
2015,16353.81,12076.33,8697.71,17644.45,24524.17,70937.93,8268.18,39620.28,27294.05,15651.9,20871.62,62050.71,13224.84
2016,16555.23,10043.01,14190.72,15960.55,18245.84,70162.18,13356.59,37433.87,28451.51,13583.54,17985.08,58154.21,40131.23
2017,13549.8,7396.72,15297.85,14708.6,21295.06,50085.67,6485.25,33196.66,24244.21,12394.29,21234.43,29090.47,49910.73
2018,13152.95,10097.72,13511.22,11688.08,16489.18,52470.58,7309.57,30564,23616.23,12219.93,12453.06,57131.1,21614.16
2019,16355.57,10621.52,13429.93,16366.34,21536.48,48749.82,8087.62,23854.51,18736.12,11139.1,16127.38,33031.21,32445.58
2020,9361.39,6957.31,8429.67,6795.46,11467.54,21002.16,5269.25,15047.23,11087.2,5686.69,11120.12,17833.55,17571
